# mono ec pixel
7.630000000000000000e+03 7.635000000000000000e+03 4.247645933977455570e+02
7.635000000000000000e+03 7.635000000000000000e+03 3.998197727794353682e+02
7.640000000000000000e+03 7.635000000000000000e+03 3.737663509914175961e+02
7.640000000000000000e+03 7.645000000000000000e+03 4.245186829758712861e+02
7.645000000000000000e+03 7.645000000000000000e+03 3.992436194895591370e+02
7.650000000000000000e+03 7.645000000000000000e+03 3.740157494569152732e+02
7.650000000000000000e+03 7.655000000000000000e+03 4.252574720921858216e+02
7.655000000000000000e+03 7.655000000000000000e+03 3.999551282051282328e+02
7.660000000000000000e+03 7.655000000000000000e+03 3.746355744680851103e+02
